"x","y","lst_Jun_2025","lst_mean","lst_sd","ndvi_NDVI_Jun_2025","ndvi_mean","ndvi_sd","elevation","landcover","landcover_label"
-5.4625,35.9125,25.7003009608201,25.7003009608201,NA,-0.0832469629064121,-0.0832469629064121,NA,40,7,"Other"
-5.45416666666667,35.9125,25.8003013422899,25.8003013422899,NA,-0.0872198311215415,-0.0872198311215415,NA,-1,7,"Other"
-5.42083333333333,35.9125,25.6003005793504,25.6003005793504,NA,-0.0882857225938933,-0.0882857225938933,NA,-12,7,"Other"
-5.40416666666667,35.9125,25.7003009608201,25.7003009608201,NA,-0.0751074280266347,-0.0751074280266347,NA,124,7,"Other"
-5.47916666666667,35.9041666666667,25.6003005793504,25.6003005793504,NA,-0.0872198311215415,-0.0872198311215415,NA,-1,7,"Other"
-5.47083333333333,35.9041666666667,25.7003009608201,25.7003009608201,NA,-0.0792740946912827,-0.0792740946912827,NA,81,7,"Other"
-5.4625,35.9041666666667,25.9002998164109,25.9002998164109,NA,-0.0625105288079317,-0.0625105288079317,NA,254,7,"Other"
-5.45416666666667,35.9041666666667,25.9002998164109,25.9002998164109,NA,-0.075591924150431,-0.075591924150431,NA,119,7,"Other"
-5.44583333333333,35.9041666666667,25.9002998164109,25.9002998164109,NA,-0.0873167303463008,-0.0873167303463008,NA,-2,7,"Other"
-5.4375,35.9041666666667,25.9002998164109,25.9002998164109,NA,-0.0751074280266347,-0.0751074280266347,NA,124,7,"Other"
-5.42916666666667,35.9041666666667,25.8003013422899,25.8003013422899,NA,-0.0788864977922457,-0.0788864977922457,NA,85,7,"Other"
-5.42083333333333,35.9041666666667,25.8003013422899,25.8003013422899,NA,-0.0636733195050427,-0.0636733195050427,NA,242,7,"Other"
-5.4125,35.9041666666667,25.7003009608201,25.7003009608201,NA,-0.0524330094329692,-0.0524330094329692,NA,358,7,"Other"
-5.40416666666667,35.9041666666667,25.9002998164109,25.9002998164109,NA,-0.0610570404365429,-0.0610570404365429,NA,269,7,"Other"
-5.39583333333333,35.9041666666667,26.0003001978807,26.0003001978807,NA,-0.0729756450819311,-0.0729756450819311,NA,146,7,"Other"
-5.3875,35.9041666666667,26.1003005793504,26.1003005793504,NA,-0.0779175055446531,-0.0779175055446531,NA,95,7,"Other"
-5.47916666666667,35.8958333333333,25.8003013422899,25.8003013422899,NA,-0.0830531644568936,-0.0830531644568936,NA,42,7,"Other"
-5.47083333333333,35.8958333333333,25.9002998164109,25.9002998164109,NA,-0.075204327251394,-0.075204327251394,NA,123,7,"Other"
-5.4625,35.8958333333333,26.0003001978807,26.0003001978807,NA,-0.0620260326841354,-0.0620260326841354,NA,259,7,"Other"
-5.45416666666667,35.8958333333333,26.0003001978807,26.0003001978807,NA,-0.0756888233751903,-0.0756888233751903,NA,118,7,"Other"
-5.44583333333333,35.8958333333333,26.0003001978807,26.0003001978807,NA,-0.0819872729845418,-0.0819872729845418,NA,53,7,"Other"
-5.4375,35.8958333333333,26.0003001978807,26.0003001978807,NA,-0.0686151799677647,-0.0686151799677647,NA,191,7,"Other"
-5.42916666666667,35.8958333333333,25.9002998164109,25.9002998164109,NA,-0.0549523892767098,-0.0549523892767098,NA,332,7,"Other"
-5.42083333333333,35.8958333333333,25.8003013422899,25.8003013422899,NA,-0.0384795210676366,-0.0384795210676366,NA,502,7,"Other"
-5.4125,35.8958333333333,25.6003005793504,25.6003005793504,NA,-0.024526032702304,-0.024526032702304,NA,646,7,"Other"
-5.40416666666667,35.8958333333333,25.9002998164109,25.9002998164109,NA,-0.03673533502197,-0.03673533502197,NA,520,7,"Other"
-5.39583333333333,35.8958333333333,26.1003005793504,26.1003005793504,NA,-0.0561151799738209,-0.0561151799738209,NA,320,7,"Other"
-5.3875,35.8958333333333,26.3003013422899,26.3003013422899,NA,-0.0525299086577285,-0.0525299086577285,NA,357,7,"Other"
-5.4875,35.8875,25.9002998164109,25.9002998164109,NA,-0.0852818466263564,-0.0852818466263564,NA,19,7,"Other"
-5.47916666666667,35.8875,25.9002998164109,25.9002998164109,NA,-0.0834407613559306,-0.0834407613559306,NA,38,7,"Other"
-5.47083333333333,35.8875,26.0003001978807,26.0003001978807,NA,-0.0742353350038014,-0.0742353350038014,NA,133,7,"Other"
-5.4625,35.8875,26.0003001978807,26.0003001978807,NA,-0.0618322342346169,-0.0618322342346169,NA,261,7,"Other"
-5.45416666666667,35.8875,26.1003005793504,26.1003005793504,NA,-0.0807275830626715,-0.0807275830626715,NA,66,7,"Other"
-5.44583333333333,35.8875,26.0003001978807,26.0003001978807,NA,-0.0831500636816528,-0.0831500636816528,NA,41,7,"Other"
-5.4375,35.8875,26.0003001978807,26.0003001978807,NA,-0.0771423117465791,-0.0771423117465791,NA,103,7,"Other"
-5.42916666666667,35.8875,26.0003001978807,26.0003001978807,NA,-0.0685182807430054,-0.0685182807430054,NA,192,7,"Other"
-5.42083333333333,35.8875,26.0003001978807,26.0003001978807,NA,-0.0569872729966542,-0.0569872729966542,NA,311,7,"Other"
-5.4125,35.8875,25.8003013422899,25.8003013422899,NA,-0.0302430869631,-0.0302430869631,NA,587,7,"Other"
